@lat	@lon	name	tourism	historic	amenity
39.3269566	-7.2089278	Dolmen Cajirón 1	attraction	archaeological_site	
39.3293398	-7.2056063	Dolmen Cajirón 2	attraction	archaeological_site	
39.3332260	-7.2267936	Dolmen Data 1	attraction	archaeological_site	
39.3341089	-7.2266395	Dolmen Data 2	attraction	archaeological_site	
39.3298090	-7.2189520	Dolmen del Mellizo	attraction	archaeological_site	
41.8935871	-8.1790180		viewpoint		
37.5307508	-6.2813282		viewpoint		
41.6563780	-8.0773455	Miradouro da Serradela	viewpoint		
40.1852866	-6.7826078	La cruz	viewpoint		
38.8059231	-9.3914337		viewpoint		
39.6840614	-8.8858959	Santo Amaro	viewpoint		
38.7919977	-9.3895939		viewpoint		
41.4349472	-8.7157470		viewpoint		
38.7945339	-9.3963651	Poço Imperfeito	attraction		
38.7945336	-9.3969052	Poço Iniciático	attraction		
41.5971445	-8.4638651	Pelourinho do Prado	attraction	pillory	
39.5345086	-8.1611599	Pelourinho do Sardoal	attraction	pillory	
38.8852997	-9.3430897	Broas	attraction	village	
38.8802579	-9.2003137		viewpoint		
38.9189378	-9.0261033	Palácio do Sobralinho	museum		
40.6134443	-8.2516958	Forno Comunitário da Urgueira	attraction		
39.2335764	-8.6762878	Ruínas do Castelo de Santarém		castle	
39.2350389	-8.6804682	Casa do Brasil	museum		
37.3073262	-8.6052357		viewpoint		
42.0335691	-8.6454981		viewpoint		
41.3808939	-8.6773269	Igreja Paroquial de S. Simão		monument	
38.3719885	-8.5183356		viewpoint		
38.3718926	-8.5124347		viewpoint		
38.3721262	-8.5110282		viewpoint		
38.7964985	-9.3917377	Miradouro do Adro da Igreja de S. Martinho	viewpoint		
40.2484113	-8.3481102		attraction		
40.2634934	-8.3492636		attraction		
39.6145378	-6.4059309		viewpoint		
42.1885613	-8.4787674	Cruz da Picaraña		monument	
41.4298248	-8.2687033	Pio IX	viewpoint		
40.3465034	-8.5913284	Museu da Pedra	museum		
38.7981710	-9.3899737	Museu de História Natural	museum		
38.7957011	-9.3764539	Museu do Bonsai	museum		
39.1756183	-6.2297453	Ermita del Calvario y Nuestra Señora de Fátima		monument	place_of_worship
40.7581772	-7.6460927	Museu de Gulfar	museum		
41.8265149	-8.7986395	Portela dos Sete Caminhos	viewpoint		
42.1887067	-8.4789646	Picaraña	viewpoint		
